CMD ID,Command Title,Group,Requirement,Section,Detail Table,Overview Table,Description,Note
0000h,Query Status,Module Commands,Rqd,9.3.1,9-3,9-2,"The module returns a CdbStatus of success (01h) as well as basic status information of the module, such as password unlock status. Note: This can also be used to check if CDB is supported.",
0001h,Enter Password,Module Commands,Adv,9.3.2,9-4,9-2,"This command allows the host to enter a password. The module reports success or failure, especially if the password was accepted or rejected. Note: Entering passwords is also possible by writing to Bytes 00h:122-125, but this method lacks feedback if the password was accepted or rejected.",
0002h,Change Password,Module Commands,Adv,9.3.3,9-5,9-2,"This command allows the host to change the Host Password. The module’s reply reports success or failure, i.e. if the new Host Password has been accepted and stored successfully in non-volatile memory, or if there were any errors. Note: Changing the Host Password persistently is also possible by writing to Bytes 00h:118-121, but without feedback if the operation completed successfully.",
0004h,Abort Processing,Module Commands,Adv,9.3.4,9-6,9-2,Abort Current Background Operation,
0040h,Module Features,Capabilities Inquiry,Rqd,9.4.1,9-8,9-7,Identify which module level commands are supported in the CMD ID space 0000h to 00FFh. Note that this includes the commands in this group.,
0041h,Firmware Management Features,Capabilities Inquiry,Rqd,9.4.2,9-9,9-7,Identify which firmware management features are supported in the CMD ID space 0100h to 011Fh.,
0042h,Performance Monitoring Features,Capabilities Inquiry,Rqd,9.4.3,9-10,9-7,Identify which Performance Monitoring and Data Monitoring and Recording commands are supported in CMD ID space 0200h to 02FFh,
0043h,BERT and Diagnostic Features,Capabilities Inquiry,Rqd,9.4.4,9-11,9-7,Identify which BERT and Diagnostic features are supported in the CMD ID space 0300h to 03FFh,
0044h,Security Features,Capabilities Inquiry,Adv,9.4.5,9-12,9-7,Identify which Security related commands and features are supported in the CMD ID space 0400h to 04FFh,
0045h,Externally Defined Features,Capabilities Inquiry,Adv,9.4.6,9-13,9-7,Identify which CMIS supplement specifications that define CDB messages in a dedicated part of the restricted CMD ID space from 4000h to 7FFFh are supported,
0050h,Get Application Attributes,Capabilities Inquiry,,9.4.7,9-14,,,Has a detail table but is not listed in any overview table (overview marks its ID range reserved)
0051h,Get Interface Code Description,Capabilities Inquiry,,9.4.8,9-15,,,Has a detail table but is not listed in any overview table (overview marks its ID range reserved)
0100h,Get Firmware Info,Firmware Management,Rqd,9.7.1,9-19,9-18,"When the host issues this command, the module returns the requested FW information of all field-updateable firmware in the module.",
0101h,Start Firmware Download,Firmware Management,Cnd,9.7.2,9-20,9-18,"The host issues this command to initiate a firmware update. The module may completely erase the target or simply acknowledge and prepare the module firmware for any appropriate update or dynamically erase as each data block arrives. On success, the host may begin sending the firmware image using command codes 0103h-0107h. Condition: Any of CMD 103h, 104h, 105h, 106h supported",
0102h,Abort Firmware Download,Firmware Management,Adv,9.7.3,9-21,9-18,"Aborts the FW Download if a FW Start has been issued. Advertisement: CMD 0041h, 9Fh.137.0",
0103h,Write Firmware Block LPL,Firmware Management,Adv,9.7.4,9-22,9-18,"With this command, the host downloads a firmware image block previously stored in the LPL area. The module transfers that firmware image block into non-volatile storage. Note: Each image block transfer from host to module is covered by the CDB command block checksum; this checksum does not ensure that the image has been properly transferred to non-volatile storage. Advertisement: CMD 0041h, 9Fh.141",
0104h,Write Firmware Block EPL,Firmware Management,Adv,9.7.5,9-23,9-18,"With this command, the host downloads a firmware image block previously stored in the EPL Page(s). The module transfers that firmware image block into non-volatile storage. Advertisement: CMD 0041h, 9Fh.141",
0105h,Read Firmware Block LPL,Firmware Management,Adv,9.7.6,9-24,9-18,"The host may use this command to read back the firmware image that was most recently written to non- volatile storage. The module copies the image from non- volatile storage to the LPL Page. The firmware image transfer from the module to the host is covered by the CDB command block checksum, but this checksum does not ensure that the image has been properly transferred from non-volatile storage to the LPL Page. Advertisement: CMD 0041h, 9Fh.142",
0106h,Read Firmware Block EPL,Firmware Management,Adv,9.7.7,9-25,9-18,"The host may use this command to read back the firmware image that was most recently written to non- volatile storage. The module copies the image from non- volatile storage to the EPL Page(s). The firmware image transfer from the module to host is covered by a block checksum, but this checksum does not ensure that the image has been properly transferred from non-volatile storage to the EPL Page(s). Advertisement: CMD 0041h, 9Fh.142",
0107h,Complete Firmware Download,Firmware Management,Cnd,9.7.8,9-26,9-18,"The host issues this command when the entire firmware image has been written via LPL or via EPL Pages, or to stop the download after failure. If this command is not issued, the firmware cannot be run even if the image is properly loaded to non-volatile storage. The module validates the checksum associated with the image when the host issues this command. Condition: Any of CMD 103h, 104h, 105h, 106h supported",
0108h,Copy Firmware Image,Firmware Management,Adv,9.7.9,9-27,9-18,"When multiple images are supported for a given subsystem in the module, this command causes the module to copy an image from one non-volatile storage location to another one. It is assumed that the copy firmware image command includes a validation process by the module firmware to ensure the copied image is valid. The CDB complete firmware image command 0107h does not need to be called after a copy firmware image command. Advertisement: CMD 0041h, 9Fh.137.1",
0109h,Run Firmware Image,Firmware Management,Cnd,9.7.10,9-28,9-18,"This command is used to start and run a selected image. This command transfers control from the currently running firmware to a selected firmware that is started. It can be used to switch between firmware versions, or to perform a restart of the currently running firmware. Condition: CMD 103h or CMD 104h supported",
010Ah,Commit Firmware Image,Firmware Management,Cnd,9.7.11,9-29,9-18,"The host uses this command to commit the running image so that the module will boot from it on future boots. The assumption is that the host has a time period where it runs the new firmware and “accepts” the new firmware. During this time, if a reset occurs, the previously committed image will be run. When the host issues this command, the module will mark a non-volatile storage location to be used after future module resets. Only the running image can be committed. This is to avoid committing a “bad” image. Condition: CMD 103h or CMD 104h supported",
0200h,Control PM,Performance Monitoring,Rqd,9.8.1,9-32,9-30,General Performance Monitoring Controls,
0201h,Get PM Feature Information,Performance Monitoring,Rqd,9.8.2,9-33,9-30,Advertisement on optional PM is supported.,
0210h,Get PM Module LPL,Performance Monitoring,Adv,9.8.3,9-34,9-30,Get Module-level X16 PM using LPL,
0211h,Get PM Module EPL,Performance Monitoring,Adv,9.8.3,9-34,9-30,Get Module-level X16 PM using EPL,
0212h,Get PM Host Side LPL,Performance Monitoring,Adv,9.8.4,9-35,9-30,Get Lane-specific host side X16 PM using LPL,
0213h,Get PM Host Side EPL,Performance Monitoring,Adv,9.8.4,9-35,9-30,Get Lane-specific host side X16 PM using EPL,
0214h,Get PM Media Side LPL,Performance Monitoring,Adv,9.8.5,9-36,9-30,Get Lane-specific media side X16PM using LPL,
0215h,Get PM Media Side EPL,Performance Monitoring,Adv,9.8.5,9-36,9-30,Get Lane-specific media side X16 PM using EPL,
0216h,Get PM Data Path LPL,Performance Monitoring,Adv,9.8.6,9-37,9-30,Get Lane-specific Data Path X16 PM using LPL,
0217h,Get PM Data Path EPL,Performance Monitoring,Adv,9.8.6,9-37,9-30,Get Lane-specific Data Path X16 PM using EPL,
0220h,Get Data Path RMON Statistics,Performance Monitoring,Adv,9.8.7,9-38,9-30,Get Data Path RMON Statistics using LPL,
0230h,Control Data Path SEW Histogram,Performance Monitoring,Adv,9.8.8,9-39,9-30,Control FEC Symbol Error Weight Histogram,
0231h,Get Data Path SEW Histogram,Performance Monitoring,Adv,9.8.9,9-40,9-30,Get FEC Symbol Error Weight Histogram,
0232h,Control Data Path SEW Stats,Performance Monitoring,Adv,9.8.10,9-41,9-30,Control Max FEC Symbol Error Weight Statistics,
0233h,Get Data Path SEW Stats,Performance Monitoring,Adv,9.8.11,9-42,9-30,Get Max FEC Symbol Error Weight Statistics,
0280h,Data Monitoring and Recording Controls,Data Recording,Rqd,9.9.1,9-44,9-43,,
0281h,Data Monitoring and Recording Advertisements,Data Recording,,9.9.2,9-45,,,Has a detail table but is not listed in any overview table (overview marks its ID range reserved)
0290h,Temperature Histogram,Data Recording,Opt,9.9.3,9-46,9-43,,
0380h,Loopbacks,Diagnostics and Debug,Adv,9.11.1,9-49,9-48,Reserved for Loopbacks,
0400h,Get IDevID Certificate in LPL,Security Features,Adv,9.12.3,9-52,9-50,"Read (segment of) the module’s Initial Device Id (IDevID) certificate, or (segment of) a selected element of its certificate chain, in the advertised format (X.509 v3 or custom). The IDevID certificate may be an end point issued directly by a host-trusted Root CA, or a leaf certificate in an issuance chain of at most 4 certificates, the highest one of which is issued by a host-trusted Root CA. Note that RSA 3072-bit leaf certificates are ~1200 bytes and RSA 4096-bit certificates are ~1500 bytes without extensions. Smaller keys (and signatures) used in other algorithms result in smaller certificates. The CDB EPL 2048 byte is not expected to be a problem unless large keys with cert chains and/or extensions are utilized.",
0401h,Get IDevID Certificate in EPL,Security Features,Adv,9.12.3,9-53,9-50,This command variant retrieves an entire certificate in a single REPLY (no segmentation). The number of EPL pages must accommodate the largest certificate.,
0402h,Set Digest To Sign given in LPL,Security Features,Adv,9.12.4,9-54,9-50,"Provide a digest (fingerprint) for a random message to be signed by the module. Note: This implements the challenge portion of a Challenge-Response interaction, where the host creates a random message and then applies the hash function that is characteristic for the advertised DigestLength (as returned by CMD 0044h) to create a message digest (fingerprint) that the module must sign. CMD 0044h SignatureTime indicates the maximum time required to complete the signing operation.",
0403h,Set Digest To Sign given in EPL,Security Features,Adv,9.12.5,9-55,9-50,This command variant transmits the message digest to be signed in a single CMD (no segmentation). The number of EPL pages must be sufficient to accommodate the largest message digest.,
0404h,Get Digest Signature in LPL,Security Features,Adv,9.12.6,9-56,9-50,"Read the module’s signature of the most recently provided digest to be signed Note: This implements the response portion of the Challenge-Response interaction, which allows the module to prove to the host that it owns the private key associated with the provided module certificate. The encoding of the signature is defined by CMD 0044h SignatureFormat. The signature algorithm is specified in the module certificate. Repeated Get Digest Signature commands will return the same signature until a new Set Digest To Sign command is issued.",
0405h,Get Digest Signature in EPL,Security Features,Adv,9.12.7,9-57,9-50,This command variant retrieves the entire Digest Signature in a single CMD. The number of EPL pages must be sufficient to accommodate the largest signature.,
