Key ID,CMIS Name,Page,Byte,Byte Length,Mask Bytes,Bank Scope,Value Type,Unit,Scale,Byte Order,Conversion Note,Access,Behavior,Requirement,Condition,Description,Reference Section,Reference Table,SONiC Cross-check,SONiC Field
SFF8024Identifier.Lwr,SFF8024Identifier,,0,1,,,u8,,,,,RO,Normal,Rqd,,SFF8024Identifier is an SFF-8024 module type Identifier from Table 4-1 “Identifier Values” in [5] which allows to infer both physical form factor and management protocol of the module. Note: The CMIS interpretation of all other registers or fields is valid only when the fundamental SFF8024Identifier indicates that the module uses the CMIS management protocol.,,8-5,Agrees,Identifier
CmisRevision,CmisRevision,,1,1,,,u8,,,,,RO,Normal,Rqd,,"CMIS revision number (decimal): The upper nibble (bits 7-4) is the integer part (major number) The lower nibble (bits 3-0) is the decimal part (minor number) Example: 01h indicates version 0.1, 21h indicates version 2.1. Note: See Appendix G.3 for interoperability implications of the major revision number (integer part).",,8-5,Agrees (SONiC splits),CmisMajorRevision; CmisMinorRevision
MemoryModel,MemoryModel,,2,1,0x80,,bool,,,,,RO,Normal,Rqd,,"Indicator of the memory model of the module: 0b: Paged memory (Pages 00h-02h, 10h-11h supported) 1b: Flat memory (Page 00h supported only)",,8-5,Agrees,Flat_mem
SteppedConfigOnly,SteppedConfigOnly,,2,1,0x40,,bool,,,,,RO,Normal,Rqd,,"Indicates which reconfiguration procedures are supported: 0b: Module supports all types of reconfigurations: essential step-by-step reconfiguration as well as both types of intervention-free reconfiguration: hot (in state) and regular (with automatic state change). (legacy default, not meant to be pre-valent, see notes below) 1b: Module supports the essential step-by-step reconfigura- tion but none or (optionally) only one of the two types of intervention-free reconfiguration. See the AutoCommissioning field below for more details. Note: The baseline option 1b is assumed to be prevalent for modules that do not require hot reconfiguration, such as, e.g., Ethernet transceivers. Note: The extended option 0b with additional support for intervention-free reconfiguration is intended only for module Applications such as InfiniBand or Fibre Channel that may require time critical speed negotiations when tight timing is not achievable with basic step-by-step configuration. Note: See section 6.2.4 for more information.",,8-5,Not in SONiC,
MciMaxSpeed,MciMaxSpeed,,2,1,0x3C,,bitfield4,,,,,RO,Normal,Rqd,,Indicates maximum supported clock speed of Management Communication Interface (MCI): I2CMCI: 0: Module supports up to 400 kHz 1: Module supports up to 1 MHz 2: Module supports up to 3.4 MHz 3-15: Reserved SPIMCI: 0: Module supports up to 1 MHz 1: Module supports up to 2 MHz 2: Module supports up to 4 MHz 3: Module supports up to 8 MHz 4: Module supports up to 12 MHz 5: Module supports up to 16 MHz 6: Module supports up to 20 MHz 7: Module supports up to 30 MHz 8: Module supports up to 40 MHz 9: Module supports up to 50 MHz 10-15: Reserved,,8-5,Not in SONiC,
AutoCommissioning,AutoCommissioning,,2,1,0x03,,bitfield2,,,,,RO,Normal,Rqd,,"This field allows modules to support just one of the two intervention-free reconfiguration procedures, either the regular (automatic DPSM state changing) one or the hot one (staying in DPSM state): SteppedConfigOnly = 0: xx: both regular and hot supported (legacy default) SteppedConfigOnly = 1: 00: none, neither regular nor hot supported 01: only regular supported (affects ApplyDPInit) 10: only hot supported (affects ApplyImmediate) 11: reserved Effect on ApplyImmediate: When hot intervention-free reconfiguration is unsupported, the module ignores any WRITE to ApplyImmediate registers Effect on ApplyDPInit: When regular intervention-free reconfiguration is not supported, the module accepts ApplyDPInit in all states as a Provision command (see Table 6-4) , but the DPSM excludes the DPReinitT term in the DPDeReinitS transition signal (see Case 2 in section 6.3.3.1)",,8-5,Not in SONiC,
Reserved.Lwr.3,Reserved,,3,1,0xF0,,,,,,,,,,,Reserved,,8-6,Not in SONiC,
ModuleState,ModuleState,,3,1,0x0E,,enum3,,,,,RO,Normal,Rqd,,Current Module State (see Table 8-7 for encoding and section 6.3.2 for a description of the meaning of ModuleState) Notes: - Flat memory modules always report ModuleReady. - Not all states of the Module State Machine are observable.,,8-6,Agrees,ModuleState
InterruptDeasserted,InterruptDeasserted,,3,1,0x01,,bool,,,,,RO,Normal,Rqd,,Status of Interrupt output signal 1b: Interrupt not asserted (default) 0b: Interrupt asserted,,8-6,Not in SONiC,
Reserved.Lwr.4.0x80,Reserved,,4,1,0x80,,,,,,,,,,,Reserved,,8-8,Not in SONiC,
